Num_Acc,dep,lat,long,date,hrmn,atm,mortel
201900000037,67,48.5708480,7.7587680,2019-11-29,13:40,2,False
201900000038,66,42.6969500,2.8993500,2019-11-29,13:50,1,False
201900000049,49,47.4653400, -0.5543300,2019-11-28,08:16,1,False
201900000051,45,47.8763800,1.9145000,2019-11-29,17:10,1,False
201900000059,33,44.8616500, -0.5730000,2019-11-22,18:45,2,False
201900000060,33,44.7727200, -0.5766400,2019-11-06,19:15,1,False
201900000064,33,44.8079300, -0.6170400,2019-11-27,17:40,2,False
201900000065,33,44.8202000, -0.5814500,2019-11-27,13:00,2,False
201900000102,71,46.6965100,4.3911800,2019-09-19,17:00,1,False
201900000113,974, -20.9058900,55.4783700,2019-09-20,20:05,1,False
201900000143,67,48.5450000,7.7746300,2019-09-19,17:45,1,False
201900000145,67,48.2569480,7.4552090,2019-09-19,14:08,1,False
201900000151,60,49.5782422,2.9943981,2019-02-17,07:45,1,False
201900000181,28,48.1574460,1.6877360,2019-02-16,15:30,1,False
201900000182,28,48.5515960,1.7361330,2019-02-18,11:45,1,True
201900000188,68,47.8164620,7.2676050,2019-02-14,15:15,1,False
201900000192,76,49.4425301,0.2726543,2019-02-17,19:10,1,False
201900000218,77,49.0716100,2.8051200,2019-02-16,17:10,1,False
201900000220,77,48.6092150,2.8869400,2019-02-15,16:40,7,False
201900000224,78,48.7150440,2.0019880,2019-02-16,14:43,1,False
201900000232,17,45.8264120, -1.1087060,2019-05-10,17:30,1,False
201900000240,64,43.4800542, -1.4416990,2019-05-08,10:00,2,False
201900000245,33,44.7205000, -0.6037100,2019-05-17,14:30,1,False
201900000254,72,47.6975360, -0.0894790,2019-05-04,11:20,1,False
201900000257,49,47.1841860, -1.1068360,2019-05-26,08:00,2,False
201900000293,27,49.1346320,1.1887900,2019-05-29,12:50,8,False
201900000305,62,50.4218350,2.6607360,2019-05-12,11:44,1,False
201900000307,67,48.5867200,7.7060000,2019-08-13,19:05,1,False
201900000310,67,48.5993420,7.7860490,2019-08-12,08:00,1,False
201900000320,64,43.2965300, -0.3730700,2019-08-16,20:00,1,False
201900000329,60,49.3889400,2.8827100,2019-08-16,22:40,1,False
201900000335,58,46.9919700,3.1613000,2019-07-27,18:00,1,False
201900000337,56,47.7458700, -3.3804500,2019-08-14,18:10,2,False
201900000345,51,49.2439100,4.0353200,2019-08-16,15:55,1,False
201900000350,49,47.4730700, -0.5622400,2019-08-13,15:45,1,False
201900000354,47,44.2113612,0.6466734,2019-08-14,15:20,1,False
201900000360,44,47.2596070, -2.3390750,2019-08-15,12:25,1,False
201900000368,35,48.1102097, -1.6741705,2019-08-17,23:00,3,False
201900000371,35,48.1219650, -1.7137060,2019-08-16,18:15,1,False
201900000374,35,48.1101900, -1.6842200,2019-08-13,08:45,1,False
201900000382,93,48.8958000,2.4098900,2019-06-14,07:11,1,False
201900000394,93,48.8578882,2.4351291,2019-06-13,14:30,1,False
201900000402,93,48.9263000,2.5452700,2019-06-19,09:37,1,False
201900000443,93,48.9078200,2.4945900,2019-06-18,19:15,1,False
201900000468,13,43.3526400,5.4820900,2019-10-24,17:10,1,False
201900000478,75,48.8881149,2.3598786,2019-10-24,08:30,1,False
201900000480,75,48.8361386,2.2972210,2019-10-24,19:55,1,False
201900000483,75,48.8756728,2.3195863,2019-10-24,20:10,1,False
201900000489,93,48.9077400,2.3442140,2019-10-24,13:00,1,False
201900000498,92,48.8451000,2.2176000,2019-10-24,18:25,1,False
201900000528,3,46.2949333,2.7353721,2019-10-24,14:40,1,False
201900000530,1,46.1073500,4.9627720,2019-10-25,11:50,1,False
201900000538,4,43.7778290,6.0276900,2019-10-25,17:25,1,False
201900000558,75,48.8384763,2.3570239,2019-11-29,19:26,1,False
201900000569,75,48.8667094,2.3512489,2019-11-29,13:45,2,False
201900000580,94,48.7445200,2.3971800,2019-11-29,16:30,1,False
201900000587,92,48.8798700,2.2333300,2019-11-29,20:50,8,False
201900000603,51,49.3481234,4.2125039,2019-11-30,17:10,1,True
201900000613,47,44.6360760,0.2417190,2019-11-29,15:35,7,True
201900000634,33,44.6365100, -1.0956600,2019-11-29,20:45,1,False
201900000641,67,48.6906490,7.7846270,2019-11-27,11:51,1,False
201900000669,75,48.8637090,2.2401166,2019-11-27,06:20,1,False
201900000670,75,48.8441850,2.3228920,2019-11-28,18:30,1,False
201900000678,94,48.7993000,2.3436000,2019-11-28,11:05,1,False
201900000684,93,48.8783400,2.4225100,2019-11-28,08:30,2,False
201900000690,92,48.8309329,2.2346122,2019-11-28,11:25,1,False
201900000701,51,48.9069063,4.0173334,2019-08-28,19:35,1,False
201900000708,29,48.4323110, -4.4413739,2019-10-22,17:15,1,False
201900000717,88,48.0244930,5.8090520,2019-11-28,17:50,2,False
201900000733,63,45.7959039,3.1651663,2019-09-01,15:32,1,False
201900000735,59,50.6946874,3.1949066,2019-09-20,22:40,1,False
201900000740,56,47.7557400, -3.3548100,2019-09-19,17:15,1,False
201900000750,41,47.5827000,1.2976000,2019-09-18,18:50,1,False
201900000764,33,44.7993100, -0.5769100,2019-09-20,14:20,1,False
201900000765,33,44.8821200, -0.5699800,2019-09-20,12:15,1,False
201900000771,31,43.6160000,1.4531700,2019-09-19,16:15,1,False
201900000774,22,48.5194100, -2.7882680,2019-09-15,11:00,1,False
201900000779,13,43.3700548,5.3460178,2019-09-20,17:30,1,False
201900000793,5,44.5672300,6.0971900,2019-09-19,09:00,1,False
201900000807,75,48.8259651,2.3531906,2019-09-20,19:25,1,False
201900000810,75,48.8341140,2.4435680,2019-09-20,15:35,1,False
201900000812,75,48.8771953,2.3230354,2019-09-20,15:45,1,False
201900000815,75,48.8552101,2.3458059,2019-09-20,17:20,1,False
201900000824,94,48.8400000,2.4700000,2019-09-20,12:15,1,False
201900000841,92,48.8679800,2.2249400,2019-09-20,14:30,1,False
201900000846,92,48.8236412,2.2554331,2019-09-08,10:35,1,False
201900000857,62,50.6184900,2.4705790,2019-09-20,09:00,1,False
201900000858,41,47.7467890,0.8643610,2019-09-20,19:45,1,True
201900000866,65,42.9876438, -0.0565356,2019-09-20,15:20,1,False
201900000879,50,49.4950110, -1.2656440,2019-09-21,15:35,1,False
201900000887,49,47.6493570, -0.4418740,2019-09-20,07:45,1,False
201900000888,35,48.1293510, -1.8095160,2019-09-14,16:10,1,False
201900000889,38,45.1263300,6.0432400,2019-09-21,10:30,1,False
201900000907,27,49.2493350,1.4390520,2019-09-20,11:15,1,False
201900000965,94,48.8191000,2.3806000,2019-12-20,20:50,2,False
201900000991,63,45.7928399,3.1198883,2019-10-13,12:10,1,False
201900001003,67,48.3772780,7.6191370,2019-02-14,13:36,7,False
201900001022,69,45.8124880,4.8183480,2019-01-30,18:10,1,False
201900001041,76,49.7503050,1.2846030,2019-02-17,12:48,6,False
201900001049,59,50.1777520,3.4714876,2019-02-14,17:35,7,False
201900001131,974, -20.9625800,55.6580400,2019-02-13,14:00,1,False
201900001142,69,45.7742200,4.8029000,2019-02-12,08:45,1,False
201900001156,83,43.1244700,6.1887500,2019-02-12,16:40,1,False
201900001164,67,48.5827300,7.7509700,2019-02-11,14:45,1,False
201900001166,67,48.5661800,7.7080000,2019-02-08,13:45,1,False
201900001174,64,43.4803700, -1.5222600,2019-02-11,15:25,2,False
201900001190,59,50.6436200,2.6401080,2019-05-23,08:30,1,False
